TREAT;PLOT;YEAR;MONTH;JDAY;FFT;TTS;TT_ENC;HT_SOILC;CET_SOIL;TT_SOILC;FFH;TH_ENC;HH_SOILC;CEH_SOIL;TH_SOILC;FHprcn;FAprcn;FFA;TENVIRON;TSOIL;TFLSOIL;RAINFALL;WCSOIL;EMOIST;CO2gmonth
GT;2;2021;3;65;2.08;21;19;8.9;NA;21.66;1.46;22.15;9.2;NA;17.57;70.19230769;29.80769231;0.62;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;237.21984
GT;3;2021;3;65;2.41;24.5;19;8.9;NA;21.66;1.77;23.15;8.9;NA;21.66;73.4439834;26.5560166;0.64;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;274.85568
GT;1;2021;3;65;2.14;24;19;8.9;NA;21.66;1.53;16.15;8.9;NA;21.66;71.4953271;28.5046729;0.61;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;244.06272
GT;5;2021;4;116;1.02;10.5;19;14.7;NA;20.2;0.9;24.15;NA;NA;NA;88.23529412;11.76470588;0.12;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;116.32896
GT;2;2021;4;116;1.1;12;19;14.7;NA;20.2;0.78;21.15;NA;NA;NA;70.90909091;29.09090909;0.32;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;125.4528
GT;4;2021;4;116;1.12;14;19;14.7;NA;20.2;0.8;20.15;NA;NA;NA;71.42857143;28.57142857;0.32;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;127.73376
GT;3;2021;4;116;1.39;17;19;14.7;NA;20.2;0.7;20.15;NA;NA;NA;50.35971223;49.64028777;0.69;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;158.52672
GT;1;2021;4;116;1.56;20.2;19;14.7;NA;20.2;0.93;14.15;14.7;NA;20.2;59.61538462;40.38461538;0.63;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;177.91488
GT;3;2021;6;165;1.498;14;14;23.23;0.4;8.73;0.671;13;42.27;0.46;10.4;44.79305741;55.20694259;0.827;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;170.843904
GT;5;2021;6;165;1.538;15;13;58.73;0.91;10.23;0.393;13;20.37;0.57;9.4;25.5526658;74.4473342;1.145;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;175.405824
GT;4;2021;6;165;1.73;16.6;14;28.13;0.38;7.73;0.407;13;22.7;0.47;9.7;23.52601156;76.47398844;1.323;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;197.30304
GT;2;2021;6;165;1.74;17;11;23.5;0.41;13.03;0.514;14;10.83;0;8.67;29.54022989;70.45977011;1.226;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;198.44352
GT;3;2021;7;210;1.375;16;11;19.9;0.51;12.67;0.569;9;21.83;0.46;10.33;41.38181818;58.61818182;0.806;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;156.816
